Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
MPRO SERV DP KANGOUROU 2P BLC,895387,1,null,null,24,24,0,0,0,0,24,24
BOUTEILLE OPTIMA ACQUA 0.75L,387042,1,null,null,24,24,0,0,0,0,24,24
BASILIC BOTTE MC 30 G X5,31213,1,31213,"MEAT_SPECIAL_HANDLING-33-11-A1-2,MEAT_SPECIAL_HANDLING-33-13-A1-5",73,365,64,320,4,20,5,25
KELLOGG'S CORN FLAKES 500G,868477,1,277650,MEAT_SPECIAL_HANDLING-6-19-A1-3,68,68,43,43,0,0,25,25
80 GOB CAR BOISS CHAUDE 10CL,842549,1,249910,MEAT_SPECIAL_HANDLING-5-35-A2-2,52,52,27,27,0,0,25,25
80 GOB CAR BOISS CHAUDE 18CL,838882,1,245982,MEAT_SPECIAL_HANDLING-5-34-A4-1,70,70,41,41,3,3,26,26
MAUREL HLE TOURNESOL 25L,211161,1,11163,"MEAT_SPECIAL_HANDLING-1-26-A1-1,MEAT_SPECIAL_HANDLING-1-24-B1-2,MEAT_SPECIAL_HANDLING-2-2-C1-2,MEAT_SPECIAL_HANDLING-1-28-A1-3,MEAT_SPECIAL_HANDLING-2-4-C1-2,MEAT_SPECIAL_HANDLING-2-2-B1-1,MEAT_SPECIAL_HANDLING-2-2-C1-3,MEAT_SPECIAL_HANDLING-2-4-C1-3,MEAT_SPECIAL_HANDLING-2-6-C1-1,MEAT_SPECIAL_HANDLING-1-28-A1-1",291,291,254,254,10,10,27,27
CFPVITTEL      12X100CL PLEIN,226654,1,null,null,27,27,0,0,0,0,27,27
CORDON BLEU DINDE 8X125G HALAL,244182,1,null,null,28,28,0,0,0,0,28,28
GAVOTTES NATURE ETUI 125GX2,875220,1,284805,"MEAT_SPECIAL_HANDLING-11-15-A4-2,MEAT_SPECIAL_HANDLING-11-16-A2-5",112,112,84,84,0,0,28,28
CONSIGNE PLEINE FUT 6L+CAISSE,226932,1,null,null,29,29,0,0,0,0,29,29
MC OIGNONS FRITS   500G,672242,1,95668,"MEAT_SPECIAL_HANDLING-6-5-C1-2,MEAT_SPECIAL_HANDLING-8-6-B1-1,MEAT_SPECIAL_HANDLING-8-6-C1-2,MEAT_SPECIAL_HANDLING-8-32-A1-3",1563,1563,1511,1511,23,23,29,29
TORCHON ESSUIE VAISS X4,672087,1,76178,MEAT_SPECIAL_HANDLING-6-1-A3-5,36,36,6,6,0,0,30,30
MANGUE MORCEAUX 1KG MC,121553,1,121393,"DEEP_FROZEN-40-1-A1-1,DEEP_FROZEN-40-5-B1-2,DEEP_FROZEN-40-5-B1-4",659,659,595,595,34,34,30,30
SOHO LITCHI 15D 70CL,856972,1,269237,MEAT_SPECIAL_HANDLING-9-5-A2-5,61,61,31,31,0,0,30,30
EMMENTAL FR RAPE 1KG DOMISAVOI,151740,1,153273,MEAT_SPECIAL_HANDLING-21-1-A1-1,125,125,95,95,0,0,30,30
